claim,evidence,evidence_length,random_shuffled_context,id,claim_id,claimant,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
"HPV vaccines are ineffective and cause side effects including autoimmune and neurological disorders, based on VAERS reports","Gardasil Vaccine Side Effects Reported to VAERS [...] Another section of the package insert titled ""Postmarketing Experience"" lists a number of other Gardasil 9 side effects, while cautioning that ""[b]ecause these events were reported voluntarily from a population of uncertain size, it is not possible to reliably estimate their frequency or to establish a causal relationship to vaccine exposure."" Those side effects include autoimmune diseases, such as Guillain-Barre syndrome (167 case reports in VAERS), hypersensitivity reactions including anaphylactic shock (368 VAERS case reports), and seizures (483 VAERS case reports). [...] HPV vaccines, including Gardasil, have been linked in case studies to a cluster of symptoms that are shared by several disorders not mentioned on the Gardasil package insert. These include postural orthostatic tachycardia syndrome (POTS), complex regional pain syndrome (CRPS), and fibromyalgia. The WHO database and the VAERS database contain hundreds of case reports of POTS and CRPS.",148,"Unlike many other countries during the COVID-19 pandemic, New Zealand experienced fewer deaths compared to the pre-pandemic baseline in 2020 and 2021, as a result of COVID-19 restrictions. Since the restrictions were lifted, mortality rates in the elderly have risen. This is likely due to a return of respiratory viruses like the flu, and likely represents a return to baseline mortality, not an increase in excess mortality due to COVID-19 vaccines. Published studies so far have found no association between COVID-19 vaccines and an increased mortality risk.",sciencefeedback_264_ret_bn_g14,sciencefeedback_264,Brenda Baletti,False,False,True,insufficient-supports,sciencefeedback
Poppers are the cause of Kaposi’s sarcoma,"AIDS-related illnesses, like tuberculosis and Kaposi’s sarcoma, are the main causes of death among people living with HIV with inadequate access to HIV care. Early in the HIV epidemic, it was proposed that poppers were linked to cases of Kaposi’s sarcoma in people with AIDS. However, research has debunked this hypothesis, showing that Kaposi’s sarcoma develops in people who are HIV-positive irrespective of poppers use and heavy poppers use isn’t linked to an increased risk of developing Kaposi’s sarcoma. In reality, Kaposi’s sarcoma is an opportunistic cancer that appears in people with weakened immune systems, such as those with advanced AIDS.",101,"These brands of bottled water all have an acidic pH, meaning that they each pose a significant risk in terms of contributing to cavities. Of course, this is assuming that an individual is consuming the recommended equivalent of eight 8–ounce glasses of water each day. [...] Final Thoughts on Bottled Water pH Levels Even though drinking plenty of water is good for your overall health, you should avoid bottled water that contains a high or low pH. Fortunately, this is not too hard to do as most manufacturers will print their bottled water pH levels right on the packaging. However, if you have already developed a cavity, you’re encouraged to schedule an appointment with Mountain View Dental, one of Utah’s leading general and cosmetic dentistry practices.",sciencefeedback_266,sciencefeedback_266,Robert Willner,False,True,True,refutes,sciencefeedback
Poppers are the cause of Kaposi’s sarcoma,"New analysis of old data suggests that ""poppers"" -- chemical inhalant stimulants used by some homosexuals -- may trigger Kaposi's sarcoma, a kind of cancer commonly associated with AIDS. [...] The only significant difference discovered was that those who developed Kaposi's sarcoma used the most poppers, or amyl nitrite, as a sexual stimulant. ""Kaposi's sarcoma is a cancer of blood vessels, and nitrites cause the blood vessels to dilate, so you have the product having an effect in roughly the same place you're getting the cancer,"" he explains.",88,"One of the cases Elizabeth most often refers to in hers series is that of Teresa Sievers. Dr. Sievers was involved in holistic medicine and her murder was complex and mysterious enough to be featured on the CBS program ""48 hours."" However, the investigation ultimately ended in the arrest of her husband on the suspicion that he paid a man to kill her for a life insurance payout. The case is still working its way through the courts. Another notable case involved the brutal and premeditated killing of a Southern California doctor who combined conventional and holistic medicine, Weidong ""Henry"" Han. Dr. Han, along with his wife and five year old daughter, were killed by a former business partner for financial gain, as reported by the Associated Press: [...] - Jessica Colker, wife of a holistic doctor (killed by a convicted rapist recently released from jail who later turned himself in)",sciencefeedback_266_ret_bn_g3,sciencefeedback_266,Robert Willner,False,False,True,insufficient-supports,sciencefeedback
Poppers are the cause of Kaposi’s sarcoma,"As an example for his claim that AIDS deaths are actually caused by drugs, Willner claimed that Kaposi’s sarcoma is due to poppers. Poppers, or amyl nitrate, are an inhaled party drug that’s associated with the club scene and the LGBTQ community. While poppers can cause serious adverse reactions, such as sudden drops in blood pressure and irregular heart rhythms and tachycardia that may prove fatal, there is no connection between poppers and Kaposi’s sarcoma. Early in the AIDS epidemic, the possibility that poppers were the cause of Kaposi’s sarcoma was raised, but this was debunked by later studies. [...] Lastly, as evidence for his claim connecting poppers to Kaposi’s sarcoma, Willner said that ""it’s very rare that you see a case of Kaposi’s sarcoma in Africa because they don’t use poppers"". This claim, however, is false.",137,"COVID-19 vaccines are highly effective at protecting against severe illness and death. Vaccine recommendations change in response to the changes in the need for vaccination, which depends on factors like the level of immunity in the population, the level of threat posed by an infectious agent, and the benefit-risk tradeoff of a vaccine.",sciencefeedback_266_ret_bn_g4,sciencefeedback_266,Robert Willner,False,False,True,refutes,sciencefeedback
Poppers are the cause of Kaposi’s sarcoma,"Previous research has shown that use of poppers may be associated with transient immunosuppression in animal models and may facilitate infection with cancer-causing viruses such as human herpes virus-8 (HHV-8), which causes Kaposi’s Sarcoma (KS). A new report from the prospective observational Multicentre AIDS Cohort Study (MACS) suggests that heavy use of poppers might be associated with increased risk of individual virus-associated cancers. This link was observed in HIV negative men but not in men who were HIV positive. Heavy use was defined as daily or weekly for at least a year. The study was reported by Anupriya Dutta and colleagues from the Dana-Farber Cancer Institute in Boston, Massachusetts. [1] [...] This research provides evidence that heavy use of poppers (daily or weekly for at least 1 year), is significantly associated with the risk of virus-related cancers in MSM who are HIV negative and this risk becomes greater over the age of 50.",153,"As is so often the case with ""proprietary"" industrial products like toxic perfumes (read more in my blog on microscopic toxins in perfumes), natural flavors (read more in my blog, Hidden Sources of MSG), and other food additives, the actual ingredients in Apeel are far from clear unless you do your own research. [...] The assurance Apeel gives us is typical corporate jargon: ""Apeel products do not contain hazardous ingredients that will cause harm to people or the environment within the context of their intended use."" [...] According to an Environmental Protection Agency (EPA) document, Apeel’s product is also .66% citric acid. Link here. So for anyone avoiding this widely-used but toxic food additive, Apeel is a no-go.",sciencefeedback_266_ret_bn_g8,sciencefeedback_266,Robert Willner,False,False,True,insufficient-supports,sciencefeedback
Blocks of color printed on toothpaste tubes indicate whether the toothpaste is made of safe ingredients,"Toothpaste ingredients generally contain at least a few basic components. These include a mild abrasive, which helps remove debris and surface stains; humectants, which reduce water loss that would otherwise cause toothpaste to dry out; and detergent, which helps clean teeth and is responsible for toothpaste foam. Toothpaste is generally safe when used as directed. However, it’s not meant to be eaten. Ingesting large quantities of toothpaste can cause stomach upset, although long-term repercussions are unlikely.",76,"This article incorrectly claims that the flu vaccine contains ingredients that are neurotoxic. The claim that the flu vaccine “contains 25,000 times more mercury than is legally allowed in drinking water” is based on an unreliable source.",sciencefeedback_27,sciencefeedback_27,Social media users,False,True,True,insufficient-neutral,sciencefeedback
Blocks of color printed on toothpaste tubes indicate whether the toothpaste is made of safe ingredients,"A post shared on Facebook over 380 times claims the colored marks on tubes of toothpaste indicate the materials used in the paste. The colored bars on the tubes do not signify what ingredients are in the toothpaste. They are for sensors to help with proper sealing and artwork placement during manufacturing, according to spokespeople for toothpaste producers. The image shows three tubes of toothpaste each with small, colored bars at the end of the tube. In the image, the colored bars are circled. ""The secrets of the colors in #toothpaste,"" the caption reads. ""These colors are not for decoration, but the materials that were used to produce this paste."" The caption then suggests what each color bar means, with green allegedly indicating ""100%"" natural ingredients and black supposedly meaning chemicals are present.",133,Scientific studies have associated flu with a higher risk of secondary infection with other viruses and bacteria. Face masks are effective at reducing the spread of viral respiratory infections like COVID-19 and the flu. Face masks are safe to use and not associated with an increased risk of bacterial pneumonia or other health problems.,sciencefeedback_27_ret_b0_gn,sciencefeedback_27,Social media users,False,False,True,refutes,sciencefeedback
Blocks of color printed on toothpaste tubes indicate whether the toothpaste is made of safe ingredients,"FULL CLAIM: ""You ever hear the toothpaste theory? You know how the toothpaste at the bottom [...] there’s always like a block of color [...] The elites or the people that know the code stay away from certain colors of the toothpaste""; ""If you have the green on your toothpaste, it means it’s all natural; if you have the blue, it says(sic) it’s natural plus medicine; if it has red, it’s natural with chemical; if it has black, it’s all chemical [...] If you were part of some, like, secret organization, across the world when you go to buy products, how are you supposed to know which one’s safe for you?"" [...] In the clip, TikTok celebrity and podcast host Carlos Juico claimed that color blocks at the end of toothpaste tubes indicated whether the toothpaste ingredients were natural or ""chemical"". More specifically, he asserted that a green color block meant the toothpaste was all-natural; a blue color block meant the toothpaste was ""natural plus medicine""; and a black color block meant the toothpaste was ""all chemical"". [...] In summary, the conspiracy theory that toothpaste tubes carry a secret color code indicating the safety of toothpaste ingredients is baseless. If people wish to know which ingredients are present in their toothpaste, they can simply read the ingredient list printed on toothpaste packaging.",222,The WHO Declaration of Monkeypox as a Global Public Health Emergency - PMID: 35895041 - DOI: 10.1001/jama.2022.12513 [...] Monkeypox: WHO declares a public health emergency of international concern.BMJ. 2022 Jul 26;378:o1874. doi: 10.1136/bmj.o1874. BMJ. 2022. PMID: 35882402 No abstract available. WHO declared monkeypox a public-health emergency of international concern: A case for prevention rationale.Int J Surg. 2022 Sep;105:106850. doi: 10.1016/j.ijsu.2022.106850. Epub 2022 Aug 24. Int J Surg. 2022. PMID: 36028142 Free PMC article. No abstract available.,sciencefeedback_27_ret_b3_gn,sciencefeedback_27,Social media users,False,False,True,refutes,sciencefeedback
Blocks of color printed on toothpaste tubes indicate whether the toothpaste is made of safe ingredients,"Incorrect: Colored squares printed at the ends of toothpaste tubes aren’t a secret code for the safety of toothpaste ingredients. Instead, they allow light sensors on the toothpaste production line to recognize the end of the tube, so that tubes can be filled, cut, and sealed correctly. [...] In the clip, TikTok celebrity and podcast host Carlos Juico claimed that color blocks at the end of toothpaste tubes indicated whether the toothpaste ingredients were natural or ""chemical"". More specifically, he asserted that a green color block meant the toothpaste was all-natural; a blue color block meant the toothpaste was ""natural plus medicine""; and a black color block meant the toothpaste was ""all chemical"". [...] In summary, the conspiracy theory that toothpaste tubes carry a secret color code indicating the safety of toothpaste ingredients is baseless. If people wish to know which ingredients are present in their toothpaste, they can simply read the ingredient list printed on toothpaste packaging.",158,"The genome of the SARS-CoV was recently sequenced [8, 9]. Since it is a member of the Coronaviridae [10], the S2 protein is believed to play a central role in viral entry. Although we found no sequence homology between the SARS-CoV S2 and HIV-1 gp41, a comprehensive sequence analysis reveals that all the above-mentioned elements of gp41 are present also in S2. [...] Herein, we report the identification of the sequence in SARS-CoV S2 protein that is analogous to the C-HR of HIV-1 gp41. This led us to the suggestion that the viral entry mechanisms are analogous and therefore a therapeutic strategy that is being applied against the HIV-1 can be adopted to fight SARS-CoV. [...] SARS-CoV genomic sequence information (NC_004718) was retrieved from GenBank at the National Center for Biotechnology Information (NCBI). The SARS-CoV E2 precursor protein accession number is gi|30023954. This precursor is believed to be post-translationally processed to reveal S1 and S2, as confirmed in other Coronaviridae viruses.",sciencefeedback_27_ret_bn_g0,sciencefeedback_27,Social media users,False,False,True,refutes,sciencefeedback
Blocks of color printed on toothpaste tubes indicate whether the toothpaste is made of safe ingredients,"The truth is: the toothpaste color-coding system simply doesn’t exist. Oral care companies don’t mark their toothpastes with colored squares to try to trick consumers and hide ingredients from them. We’re sure you’re wondering, so why are there color blocks on toothpaste tubes then? We’re happy to report that they do, in fact, have a purpose! They actually help in the manufacturing of the toothpaste tubes by telling light sensors where the end of the tube is so that it can be cut and sealed properly. We know, it’s not as exciting as a secret code, but we think the truth is pretty cool too. [...] If you want to know what kind of ingredients your toothpaste has, don’t look for a colored block at the end of the tube. Instead, take a look at the packaging for a comprehensive list of ingredients. You can talk with your dentist to learn more about how each ingredient works to keep your mouth healthy and what kind of toothpaste would be best to meet your needs.",174,"- ^ ""Pfizer-BioNTech COVID-19 Vaccine"". U.S. Food & Drug Administration. 11 December 2023. Retrieved 26 January 2024. [...] - ^ a b ""(CDC) Janssen (Johnson & Johnson) COVID-19 Vaccine"". U.S. Food & Drug Administration. 10 May 2023. [...] - ^ ""Moderna COVID-19 Vaccine"". U.S. Food and Drug Administration (FDA). 1 November 2023. Retrieved 26 January 2024.",sciencefeedback_27_ret_bn_g4,sciencefeedback_27,Social media users,False,False,True,refutes,sciencefeedback
Nicotine patches can cure Parkinson’s disease,"This is false. Experts told AAP FactCheck there is no evidence nicotine is an effective cure for Parkinson’s disease, a progressive disorder that affects the nervous system. [...] ""Did you know nicotine patches can heal Parkinson’s, MS, Myocarditis, Autism,"" one Facebook post claims, while another says: ""Nicotine can prevent, reverse, cure alzheimer’s, Parkinson’s, multiple sclerosis…"" [...] However, Prof Mellick said nicotine being used to cure Parkinson’s disease is ""not a treatment option that has any evidence base"".",77,"Concerns over the potential health effects of residual DNA in biological products like vaccines aren’t new or unknown to regulatory agencies. Regulatory agencies like the U.S. Food and Drug Administration have recommended specific limits on the amount of residual DNA in a vaccine. DNA-containing vaccines, such as the chickenpox vaccine—a live attenuated vaccine containing a DNA virus—have also been widely used before the pandemic and have been shown to be safe.",sciencefeedback_28_ret_b12_gn,sciencefeedback_28,Bryan Ardis,False,False,True,refutes,sciencefeedback
Nicotine patches can cure Parkinson’s disease,"Nicotinic Receptor Intervention in Parkinson's Disease: Future Directions - PMID: 29863173 - PMCID: PMC5975393 [...] Sufficient preclinical and epidemiological data are available to justify nicotinic intervention in Parkinson's disease (PD). Although use of nicotine patch has been suggested in some neurodegenerative disorders, including PD, the key for success with nicotinic intervention, particularly in PD, appears to rely not only on the dose but also on the mode of nicotine administration. Our aim in this short review is to provide justification for such contention. Thus, following a short introduction of nicotinic receptor pharmacology, the potential of nicotine in alleviating not only the motor symptoms, but also the mood disorders (e.g. depression) and mild cognitive impairments that are commonly co-morbid with PD will be presented. Moreover, since current PD therapy is associated with dyskinesia, the effectiveness of nicotine in ameliorating levodopa (L-Dopa)-induced dyskinesia will also be discussed. It is suggested that pulsatile nicotine administration (e.g. via inhalation or nasal spray) may be the optimal route in nicotinic intervention in PD. [...] Nicotine and Nicotinic Receptor Drugs: Potential for Parkinson's Disease and Drug-Induced Movement Disorders.Int Rev Neurobiol. 2015;124:247-71. doi: 10.1016/bs.irn.2015.07.005. Epub 2015 Aug 18. Int Rev Neurobiol. 2015. PMID: 26472532 Review.",198,How many people are in hospital due to COVID-19 at a given time? [...] Note that this is distinct from the weekly new number of people admitted to hospital due to COVID-19. You find this metric in the next section. [...] Note that this number is distinct from the total number of patients in hospital due to COVID-19 at any given time. You find this data in the previous section.,sciencefeedback_28_ret_b6_gn,sciencefeedback_28,Bryan Ardis,False,False,True,insufficient-supports,sciencefeedback
Nicotine patches can cure Parkinson’s disease,"In May 2024, a Facebook reel with over 350,000 views claimed that nicotine patches can cure Parkinson’s disease. In the reel, chiropractor Bryan Ardis shared the alleged testimony of a person who claimed ""all of his Parkinson’s symptoms disappeared"" after using the patches for seven days and had ""been told by his neurologist he no longer has Parkinson."" [...] Likewise, it is false that nicotine patches cure Parkinson’s, a chronic neurological disease that currently has no cure. While nicotine patches have been researched as a potential therapeutic strategy in people with Parkinson’s, the results from clinical trials don’t support their use for treating the disease. We explain below. [...] Parkinson’s is currently a chronic, incurable disease. Therefore, claims that any product, including nicotine patches, cures Parkinson’s are false. Nicotine has demonstrated some neuroprotective effects in preliminary studies in animals. While these effects might serve as a starting point for developing new treatments for Parkinson’s, evidence so far indicates that nicotine patches aren’t effective as a Parkinson’s treatment.",167,A public information film offering tips to prevent coronavirus infection that allegedly dates to the 1970s is actually a parody of the public service films that the U.K. Central Office of Information produced and distributed nationally between 1946 and 2011.,sciencefeedback_28_ret_bn_g9,sciencefeedback_28,Bryan Ardis,False,False,True,refutes,sciencefeedback
"“Americans are dropping dead” from COVID-19 vaccines; vaccines impair fertility, pregnancy, infant survival","Ample evidence from safety surveillance and published studies continue to show that COVID-19 vaccines are safe and effective, and that their benefits outweigh their risks. The vaccines are also safe before and during pregnancy, and the U.S. Centers for Disease Control and Prevention recommend that people who are pregnant or willing to conceive receive a COVID-19 vaccine.",57,"Another 'sign' of a stroke is this: Ask the person to 'stick' out their tongue. if the tongue is 'crooked', if it goes to one side or the other, that is also an indication of a stroke. While that is also likely true, as a test it is far less valuable than the original three because there is room for interpretation of the results. How crooked is crooked, after all? How far to one side does the tongue have to go before its having done so can be regarded as a clear sign of a stroke having occurred? Better to discard this fourth suggested 'test' in favor of remembering the first three. [...] In 1979, I was teaching in Fung-Gaap College in Tai-Chung. One afternoon I was teaching class when another teacher came running to my classroom and said in panting, ""Mr. Liu, come quick, our supervisor has had a stroke!"" I immediately went to the 3rd floor. When I saw our supervisor, Mr. Chen Fu-Tien, his color was off, his speech was slurred, and his mouth was crooked — all the symptoms of a stroke.",sciencefeedback_282,sciencefeedback_282,James Thorp,False,True,True,insufficient-refutes,sciencefeedback
"“Americans are dropping dead” from COVID-19 vaccines; vaccines impair fertility, pregnancy, infant survival","James Thorp spreads false claims that COVID-19 vaccines harm fertility, pregnancy, infant survival in The Sentinel Report interview [...] On 1 November 2023, host Alex Newman interviewed gynecologist James Thorp for the U.S. TV show The Sentinel Report. During the interview, Thorp claimed that ""Americans are dropping dead"" from COVID-19 vaccines and that the spike protein from vaccination is harming fertility, pregnancy, and infant survival. [...] Thorp’s claims linking COVID-19 vaccines with death, infertility, pregnancy complications, and infant survival are based on speculation and flawed analyses. All available evidence continues to show that COVID-19 vaccines protect against severe illness and don’t increase the risk of death or cause infertility. COVID-19 vaccines haven’t been associated with adverse pregnancy outcomes but instead they help reduce the risk of pregnancy complications due to COVID-19 infection for both the mother and the baby. Therefore, vaccination is safe and recommended for pregnant women.",148,"Autism spectrum disorder is a complex neurodevelopmental disorder commonly manifesting in difficulties with social interaction and communication, among other symptoms. Epidemiological studies of hundreds of thousands of children have found no association between childhood vaccination and autism. Variants of the MTHFR gene are common and claims that MTHFR mutations lead to an inability to “detox” from vaccines are false. Reliable scientific evidence about glyphosate’s association with autism is currently lacking, although more research in this area is needed to better understand the potential impact of glyphosate exposure.",sciencefeedback_282_ret_bn_g1,sciencefeedback_282,James Thorp,False,False,True,refutes,sciencefeedback
“No one has died of cancer or heart disease since the COVID-19 thing started”,"No, cancer and heart disease deaths didn’t disappear during the pandemic If Your Time is short - COVID-19 was the third leading cause of death after cancer and heart disease in 2020 in the United States, according to provisional federal mortality data. [...] The Lancet, The impact of the COVID-19 pandemic on cancer deaths due to delays in diagnosis in England, UK: a national, population-based modelling study, Aug. 1, 2020",70,"The U.S. Centers for Disease Control and Prevention (CDC) recommends wearing masks if you choose to, and in specific places and situations. [...] - Don't put masks on anyone who has trouble breathing or is unconscious or otherwise unable to remove the mask without help. [...] Experts do not recommend using face shields instead of masks. It's not clear how much protection shields provide. But wearing a face mask may not be possible in every situation. If you must use a face shield instead of a mask, choose one that wraps around the sides of your face and extends below your chin.",sciencefeedback_285_ret_b0_gn,sciencefeedback_285,Facebook users,False,False,True,refutes,sciencefeedback
“No one has died of cancer or heart disease since the COVID-19 thing started”,"More people are dying during the pandemic – and not just from COVID-19 [...] Moreover, the JAMA study found huge increases in excess deaths from underlying causes such as diabetes, heart disease and Alzheimer's disease in Massachusetts, Michigan, New Jersey, New York and Pennsylvania – the five states with the most COVID-19 deaths in March and April. New York City experienced the biggest jumps, including a 398% rise in heart disease deaths and a 356% increase in diabetes deaths. Other research underscores the findings. A new study published in JAMA Internal Medicine analyzed data from March through May and calculated that 22% of excess deaths were not attributed to COVID-19. Although data is still being gathered, ""Upward trends in other causes of death (e.g., suicide, drug overdose, heart disease) may contribute to excess deaths in some jurisdictions,"" the Centers for Disease Control and Prevention said.",145,"Vitamin D is important for building and maintaining strong bones, as well as regulating calcium and phosphate ion levels in the body. People can obtain vitamin D from food and sun exposure. However, vitamin D supplements may be recommended for people who have difficulty meeting their needs through natural sources. Two groups at high risk of vitamin D deficiency are breastfed infants, as human milk doesn’t contain enough vitamin D, as well as the elderly, because the body’s ability to store and make vitamin D diminishes with age.",sciencefeedback_285_ret_b14_gn,sciencefeedback_285,Facebook users,False,False,True,refutes,sciencefeedback
"Viruses don’t exist, terrain theory explains why diseases occur","Diseases can have infectious and non-infectious causes. Germ theory holds that certain diseases can be caused by microorganisms. This theory is key to our modern ability to prevent, diagnose, and treat infectious diseases. It explains why things like antibiotics, vaccines, and improvements in sanitation produced public health breakthroughs. While some diseases can be caused by deficiencies in the individual, in keeping with the concept of the terrain theory, such as Vitamin C deficiency, this doesn’t mean that all diseases are caused by imbalances in the body.",86,"An article published by Children’s Health Defense on 7 November 2023 claimed that a campaign for human papillomavirus (HPV) vaccination in low- and middle-income countries will result in a ""mass casualty event"" due to serious side effects caused by the vaccine. Purported side effects of the HPV vaccine include autoimmune and neurological disorders such as myalgic encephalomyelitis/chronic fatigue syndrome, fibromyalgia, and postural orthostatic tachycardia syndrome (POTS). We previously reviewed a claim that HPV vaccines cause autoimmune and neurological diseases and found that it was unsupported. [See scientists’ feedback.] [...] The article claimed that side effects of HPV vaccination involve neurological and autoimmune disorders, including chronic fatigue syndrome, fibromyalgia, and postural orthostatic tachycardia syndrome (POTS), but scientific evidence doesn’t support these conclusions.",sciencefeedback_289,sciencefeedback_289,Matt Roeske,False,True,True,insufficient-neutral,sciencefeedback
"Viruses don’t exist, terrain theory explains why diseases occur","FULL CLAIM: Herpes is caused by lack of collagen, flu is caused by salt imbalance, COVID-19 is caused by 5G radiation, rabies doesn’t exist, HIV is caused by AZT, and polio is caused by DDT; ""So when it comes to it, none of these viruses have been proven to exist""; terrain theory explains why diseases happen [...] The terrain theory, which can be traced back to French chemist Antoine Béchamp, has been used as a competing explanation with germ theory for why diseases occur. The terrain theory argues that diseases aren’t caused by germs, but by imbalances in the host organism resulting from lifestyle, such as nutritional deficiencies. As such, correcting the imbalance will cure the disease. [...] However, the fact that some principles of the terrain theory explain why certain diseases occur doesn’t mean that germ theory is wrong. Diseases can result from infectious and non-infectious causes. Our understanding of diseases and how to treat them draws on the principles of both theories. The denial of germ theory espoused in the Instagram reel lends users an incorrect understanding of how diseases occur and can be potentially dangerous if it leads them to reject proven treatments and preventative measures.",199,Impact of HPV vaccination and cervical screening on cervical cancer elimination: a comparative modelling analysis in 78 low-income and lower-middle-income countries - PMID: 32007141 - PMCID: PMC7043009 - DOI: 10.1016/S0140-6736(20)30068-4 Impact of HPV vaccination and cervical screening on cervical cancer elimination: a comparative modelling analysis in 78 low-income and lower-middle-income countries [...] Interpretation: Predictions were consistent across our three models and suggest that high HPV vaccination coverage of girls can lead to cervical cancer elimination in most LMICs by the end of the century. Screening with high uptake will expedite reductions and will be necessary to eliminate cervical cancer in countries with the highest burden.,sciencefeedback_289_ret_b0_gn,sciencefeedback_289,Matt Roeske,False,False,True,insufficient-supports,sciencefeedback
"Viruses don’t exist, terrain theory explains why diseases occur","Africa Check published an article on 18 May fact-checking another claim that ""contagion is a myth"" and that germs do not cause disease. We pointed out that this claim is part of a broader set of beliefs known as ""terrain theory"". [...] Terrain theory, developed by a rival of Pasteur, suggests that germs do not cause disease, and that a person becomes ill because of toxins in their environment, or unhealthy behaviours. The Facebook post even claims that because germs do not cause disease, ""there is nothing to be immune to, nor any need for nor existence of an immune system"". [...] Gainty said ""traces of terrain theory underlie our contemporary obsession with the so-called ‘good’ bacteria of our digestive tract"", but that rather than disproving germ theory, these findings have been incorporated into it. ""Along the way,"" she wrote, ""germ theory has continued to survive as a theory because it explains so much"".",154,"Toothpaste ingredients generally contain at least a few basic components. These include a mild abrasive, which helps remove debris and surface stains; humectants, which reduce water loss that would otherwise cause toothpaste to dry out; and detergent, which helps clean teeth and is responsible for toothpaste foam. Toothpaste is generally safe when used as directed. However, it’s not meant to be eaten. Ingesting large quantities of toothpaste can cause stomach upset, although long-term repercussions are unlikely.",sciencefeedback_289_ret_b6_gn,sciencefeedback_289,Matt Roeske,False,False,True,insufficient-neutral,sciencefeedback
"Viruses don’t exist, terrain theory explains why diseases occur","The terrain theory, which can be traced back to French chemist Antoine Béchamp, has been used as a competing explanation with germ theory for why diseases occur. The terrain theory argues that diseases aren’t caused by germs, but by imbalances in the host organism resulting from lifestyle, such as nutritional deficiencies. As such, correcting the imbalance will cure the disease. [...] Health Feedback previously addressed a similar claim about terrain theory, explaining that the existence of microzymes has never been demonstrated and that viral infection demonstrably produces changes even in healthy cells that are consistent with disease. [...] However, the fact that some principles of the terrain theory explain why certain diseases occur doesn’t mean that germ theory is wrong. Diseases can result from infectious and non-infectious causes. Our understanding of diseases and how to treat them draws on the principles of both theories. The denial of germ theory espoused in the Instagram reel lends users an incorrect understanding of how diseases occur and can be potentially dangerous if it leads them to reject proven treatments and preventative measures.",179,"Factually inaccurate: Childhood vaccines have saved hundreds of thousands of lives in the U.S. alone and save millions every year globally. Describing them as poison that turns a healthy baby into a sick one contradicts the scientific evidence showing the protection that vaccines provide against illness. [...] Owens described vaccination as ""injecting poison"", which is in line with many anti-vaccination claims that mislead about the safety of vaccine ingredients. Health Feedback has addressed several of these claims previously: [...] The childhood vaccine schedule is designed to protect against various infectious diseases. Contrary to the misleading claim of ""injecting poison"", vaccines are carefully formulated to train the immune system to recognize and fight specific pathogens without causing the disease.",sciencefeedback_289_ret_bn_g0,sciencefeedback_289,Matt Roeske,False,False,True,insufficient-contradictory,sciencefeedback
Mammograms don’t prevent cancer; mammograms contribute to cancer development,"Mammography is a medical imaging technique that helps detect breast tissue abnormalities, including possible tumors. Published scientific studies show that women aged 40 and older who go for a mammogram annually have a greater chance of detecting breast cancer early, thus improving their chances of successful treatment and survival. Although mammography uses X-rays, the radiation doses are low, and the benefits of routine mammograms outweigh the possible risks.",68,"Hashimoto’s disease is an autoimmune disorder that causes inflammation of the thyroid. Over time, it may impair the secretion of thyroid hormones and cause symptoms of hypothyroidism, such as fatigue, muscle soreness, dry skin, and sensitivity to cold. A standard treatment for Hashimoto’s disease is hormone replacement using a synthetic thyroid hormone.",sciencefeedback_29,sciencefeedback_29,Barbara O’Neill,False,True,True,refutes,sciencefeedback
Mammograms don’t prevent cancer; mammograms contribute to cancer development,"However, naturopath Barbara O’Neill claimed that mammograms actually contribute to cancer rather than prevent it. In an interview posted on TikTok in May 2024, O’Neill was asked about mammograms and stated that ""it’s pushed to prevent and it does not prevent"". She further added that repeated mammograms contribute to breast cancer because of the radiation sent through the breast and because of breast tissue damage that allegedly occurs during the test. This video generated 1.6 million views on TikTok at the time of writing. It was also posted on Facebook. [...] O’Neill’s claim that mammograms don’t prevent cancer is also inaccurate. Indeed, regular screening allows early detection of cancer, and early diagnosis is associated with an increased chance of survival. According to Cancer Research UK, all women diagnosed at an early cancer stage will survive for at least five years. This statistic falls to three out of ten women if the diagnosis is made at a late cancer stage. [...] Periodic mammography screening doesn’t cause nor contribute to cancer growth, contrary to Barbara O’Neill’s claim. In fact, regular mammograms do the opposite. By allowing for early detection of cancer, mammograms improve the success of cancer treatment and increase the chance of survival.",202,"On 24 August 2014 a CNN iReport claiming intentional suppression of data relating to 340% increased risk of autism among specific populations of African-American boys following MMR vaccinations went viral. The story seemed to disappear mysteriously, further fueling the notion that an intentional coverup was underway. [...] What got lost in the brouhaha over Dr. Thompson's ""confession,"" allegations about a ""cover-up"" at the CDC, and threats of whistleblower lawsuits was what should have been the main point: Did collected data actually prove that the MMR vaccine produces a 340% increased risk of autism in African-American boys? The answer is no, it did not. [...] For a thorough analysis of the flaws and misinformation associated with the current CDC autism ""cover-up"" conspiracy theory, we recommend the posts on the subject at ScienceBlogs, which note of the claim at the heart of this matter (i.e, allegedly suppressed proof of a 340% increased risk of autism in African-American boys after MMR vaccination) that:",sciencefeedback_29_ret_bn_g10,sciencefeedback_29,Barbara O’Neill,False,False,True,refutes,sciencefeedback
